smiles,LogLD
C1=CC(=CC=C1[N+](=O)[O-])Cl,2.71921287
C1=CC(=CC=C1[N+](=O)[O-])O,2.285557309
C1=CC(=CC=C1CCl)[N+](=O)[O-],3.257438567
CNC1=CC=C(C=C1)[N+](=O)[O-],3.301029996
CC(C)C1=CC=C(C=C1)C(C)C,3.505149978
C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,3.397940009
C1=CC(=CC=C1C(=O)O)C(=O)O,3.978089173
C1=CC(=CC=C1N=C=O)[N+](=O)[O-],3.204119983
CCOC1=CC=C(C=C1)[N+](=O)[O-],3.51851394
CCN(CC)CCN,3.451786436
CCN(CC)CCO,3.113943352
C=CC1=CC=CC=C1,3.459894853
C1=CC=C(C=C1)CCl,2.941449315
C1=CC=C(C=C1)CO,3.269512944
C1=CC=C(C=C1)C=O,3.135132651
C1=CC=C(C=C1)CS,2.692846919
